SPOT,AGE,SEX,Total accommodation fee,Total transportation cost,Number_of_people,Accommodation
18,3,0,0,1,3,0
40,2,0,0,1,4,0
0,1,1,82,2,1,1
26,2,0,0,1,1,0
44,6,1,0,1,1,0
26,3,1,0,1,3,0
12,4,0,0,1,1,0
15,4,0,89,1,3,1
0,3,0,82,1,1,1
6,3,1,82,1,3,1
31,1,0,0,1,1,0
44,1,1,0,1,3,0
11,3,0,0,1,4,0
22,4,0,77,1,5,1
155,6,0,0,1,1,0
0,1,0,106,1,3,1
223,5,0,0,1,1,0
6,4,1,79,1,2,1
6,4,0,82,2,2,1
172,3,0,0,2,2,1
31,3,1,0,1,1,0
202,4,1,146,4,3,1
18,4,1,67,1,2,1
161,3,1,0,1,2,0
155,4,0,0,1,1,0
218,1,0,0,1,3,0
155,5,1,0,1,0,0
48,1,1,0,1,1,0
163,2,0,0,1,1,0
25,4,0,0,1,1,0
31,6,0,0,1,2,0
164,2,0,0,1,3,0
8,5,1,0,1,2,0
32,1,0,0,1,2,0
123,1,0,82,2,3,1
0,2,0,58,1,1,1
4,3,0,67,1,4,1
46,3,1,82,1,3,1
164,4,0,0,1,3,0
169,2,0,67,2,1,1
26,4,1,0,1,3,0
201,3,1,130,3,3,1
204,5,0,0,1,3,1
155,2,1,0,1,2,0
18,3,0,11,1,3,1
213,5,1,0,2,7,0
198,1,1,49,1,1,1
163,2,0,58,1,3,1
15,3,1,0,1,3,0
105,3,0,0,1,2,0
12,2,0,0,1,4,0
177,1,1,0,1,3,0
123,3,0,183,2,3,1
161,5,0,0,1,4,0
3,5,0,0,1,1,0
26,3,0,0,1,3,0
46,2,0,0,1,7,0
44,2,0,0,1,1,0
155,2,1,0,1,1,0
179,6,1,30,1,3,1
177,2,0,107,2,2,1
202,3,0,123,3,2,1
17,4,0,0,1,1,0
155,3,1,0,1,2,0
6,3,0,106,1,3,1
0,2,0,82,1,3,1
155,1,0,0,1,3,0
155,5,1,0,1,1,0
171,3,0,0,2,3,0
123,4,1,58,2,1,1
163,5,0,0,1,2,0
9,4,0,82,2,3,1
199,1,1,0,1,2,0
1,5,1,82,1,4,1
36,2,0,0,1,1,0
12,4,0,82,1,3,1
18,0,0,0,1,3,0
164,2,1,0,1,3,0
155,5,1,0,1,2,0
216,3,0,82,1,1,1
4,5,0,82,1,3,1
164,1,0,0,1,1,0
12,1,1,0,1,1,0
40,5,1,0,1,2,0
48,2,1,0,1,1,0
24,5,1,0,1,3,0
164,1,1,0,1,1,0
202,2,0,114,3,1,1
45,2,1,0,1,1,0
0,4,0,87,1,2,1
164,2,1,0,1,1,0
22,3,1,0,1,3,0
46,2,1,0,1,1,0
155,1,1,82,1,2,1
25,1,1,0,1,1,0
32,2,1,0,1,1,0
20,1,1,0,1,2,0
0,4,1,107,2,2,1
53,2,0,106,2,1,1
0,4,0,141,2,2,1
202,5,0,199,4,5,1
24,4,1,0,1,2,0
202,4,1,189,3,1,1
25,1,1,0,1,1,0
33,2,1,0,1,1,0
202,6,0,144,2,1,1
150,5,0,0,2,3,1
201,4,1,141,2,1,1
155,1,1,0,1,1,0
201,4,0,166,4,3,1
18,2,0,67,1,2,1
0,1,1,71,2,1,1
3,3,0,82,2,2,1
164,5,1,0,1,1,0
4,1,1,124,2,1,1
4,5,1,141,2,5,1
201,6,1,183,4,3,1
18,1,1,0,1,2,0
44,2,1,0,1,1,0
164,1,1,0,1,1,0
208,2,1,102,1,1,1
18,3,1,0,1,1,0
